City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
Saint-Philippe,RE,-21.3585,55.7679,1635433481,76.59,73,9,1.61
Busselton,AU,-33.65,115.3333,1635433479,44.04,80,31,10.29
Kapaa,US,22.0752,-159.319,1635433484,75.18,98,90,5.75
Cidreira,BR,-30.1811,-50.2056,1635433705,72.52,77,6,14.61
São Filipe,CV,14.8961,-24.4956,1635433775,79.48,76,100,9.73
Tiksi,RU,71.6872,128.8694,1635433483,9.73,98,100,4.07
San Simón de la Laguna,MX,19.3,-100.0833,1635433889,55.58,62,4,0.78
Rikitea,PF,-23.1203,-134.9692,1635433488,73.54,81,8,3.13
Hambantota,LK,6.1241,81.1185,1635433889,80.38,79,94,3.31
Svetlaya,RU,46.5389,138.3297,1635433889,40.55,68,2,7.7
San Policarpo,PH,12.1791,125.5072,1635433488,80.04,80,20,5.79
Am Timan,TD,11.0297,20.2827,1635433889,95.85,29,58,2.8
Port Elizabeth,ZA,-33.918,25.5701,1635433410,75.49,64,0,8.05
Hong Kong,HK,22.2855,114.1577,1635433608,78.85,80,23,4
Vaini,TO,-21.2,-175.2,1635433479,73.56,83,75,5.75
Avarua,CK,-21.2078,-159.775,1635433633,73.45,73,75,6.91
Quatre Cocos,MU,-20.2078,57.7625,1635433890,75.09,73,16,11.61
Mataura,NZ,-46.1927,168.8643,1635433486,47.41,97,38,1.92
Madera,US,37.1666,-119.8343,1635433890,64.42,92,0,2.66
Meulaboh,ID,4.1363,96.1285,1635433890,78.71,86,99,6.15
Mar del Plata,AR,-38.0023,-57.5575,1635433551,91.42,64,0,10
Lavrentiya,RU,65.5833,-171,1635433481,15.48,89,100,7.96
Ahipara,NZ,-35.1667,173.1667,1635433891,58.01,94,20,5.46
Bluff,NZ,-46.6,168.3333,1635433483,52.07,90,4,1.7
Muli,MV,2.9167,73.5667,1635433891,82.92,72,65,10.83
Aberdeen,GB,57.1437,-2.0981,1635433742,56.5,91,20,5.75
Henties Bay,NA,-22.116,14.2845,1635433891,67.86,74,84,11.3
Tuktoyaktuk,CA,69.4541,-133.0374,1635433625,26.53,89,100,4.72
Cabo San Lucas,MX,22.8909,-109.9124,1635433891,80.51,68,1,1.99
Provideniya,RU,64.3833,-173.3,1635433892,12.69,89,99,4.92
Mahébourg,MU,-20.4081,57.7,1635433892,75.25,72,39,12.82
Ushuaia,AR,-54.8,-68.3,1635433357,52.97,60,70,7.63
Severo-Kuril'sk,RU,50.6789,156.125,1635433482,41.85,88,87,3.29
Hobart,AU,-42.8794,147.3294,1635433454,49.01,93,90,3
Yellowknife,CA,62.456,-114.3525,1635433288,34.41,100,90,1.01
Jamestown,US,42.097,-79.2353,1635433189,52.3,97,99,3
New Norfolk,AU,-42.7826,147.0587,1635433555,48.65,87,100,3.42
‘Āhuimanu,US,21.4447,-157.8378,1635433892,74.91,82,75,4.61
Mount Gambier,AU,-37.8333,140.7667,1635433558,49.91,93,90,21.85
Bambous Virieux,MU,-20.3428,57.7575,1635433893,75.22,73,34,13.29
Laguna,US,38.421,-121.4238,1635433893,61.02,95,1,1.01
Najrān,SA,17.4924,44.1277,1635433893,75.45,17,2,11.83
Arraial do Cabo,BR,-22.9661,-42.0278,1635433481,78.66,78,75,18.41
Hermanus,ZA,-34.4187,19.2345,1635433486,72.9,70,0,12.08
Port-Gentil,GA,-0.7193,8.7815,1635433786,79.48,81,99,10.63
Punta Arenas,CL,-53.15,-70.9167,1635433484,60.91,51,75,24.16
Saint George,US,37.1041,-113.5841,1635433212,59.34,81,1,5.75
Morondava,MG,-20.2833,44.2833,1635433783,77.38,69,0,22.66
Grindavik,IS,63.8424,-22.4338,1635433859,45.07,70,75,13.8
Mahibadhoo,MV,3.7833,72.9667,1635433893,82.71,73,55,10.69
Clyde River,CA,70.4692,-68.5914,1635433894,30.52,95,100,6.71
La Asuncion,VE,11.0333,-63.8628,1635433894,81.95,72,83,11.01
Ponta do Sol,PT,32.6667,-17.1,1635433778,77,77,79,3.87
Cherskiy,RU,68.75,161.3,1635433777,-18.33,95,59,4.14
Padang,ID,-0.9492,100.3543,1635433894,78.85,85,100,5.12
Lagoa,PT,39.05,-27.9833,1635433388,66.56,69,100,10.54
Shizuishan,CN,39.2333,106.7694,1635433895,50.68,39,1,7.05
Calama,CL,-22.4667,-68.9333,1635433895,73.89,9,0,10.36
Gravdal,NO,68.1214,13.5031,1635433895,46.29,87,75,6.91
Tuatapere,NZ,-46.1333,167.6833,1635433895,48.81,93,3,2.89
San Patricio,US,28.017,-97.5169,1635433852,73.87,24,0,15.37
Dingle,PH,10.9995,122.6711,1635433487,75.94,91,78,6.96
Taltal,CL,-25.4,-70.4833,1635433895,65.41,64,23,5.77
Cadiz,ES,36.5,-5.75,1635433859,77.13,47,0,9.98
Abu Samrah,SY,35.3029,37.1841,1635433896,70.36,28,98,11.99
Klaksvík,FO,62.2266,-6.589,1635433896,49.12,86,2,19.77
Barrow,US,71.2906,-156.7887,1635433456,23.02,86,90,9.22
Wajir,KE,1.7471,40.0573,1635433896,92.91,25,4,11.21
Namatanai,PG,-3.6667,152.4333,1635433897,80.35,81,23,7.47
Saint-Augustin,CA,51.226,-58.6502,1635433897,44.19,48,0,8.61
Saint Paul Harbor,US,57.79,-152.4072,1635433711,27.91,93,1,5.75
Salalah,OM,17.0151,54.0924,1635433554,80.69,78,40,6.91
Huilong,CN,31.8111,121.655,1635433897,63.03,66,10,6.85
West Wendover,US,40.7391,-114.0733,1635433897,42.01,70,1,0
Chunskiy,RU,56.0815,99.6342,1635433898,25.25,56,6,2.89
Chokurdakh,RU,70.6333,147.9167,1635433625,-2.52,93,99,3.6
Hilo,US,19.7297,-155.09,1635433584,70.79,83,1,6.91
